decision_date,execute_date,nav_before,nav_after,pnl,turnover,transaction_cost,w_互联网服务,w_通用设备,w_电池,w_汽车零部件,w_化学制品,w_半导体
2025-11-03,2025-11-04,1000000.0,985242.8285428958,-14757.17145710415,1.0,1000.0,0.35,0.2,0.25,0.1,0.1,0.0
2025-11-04,2025-11-05,985242.8285428958,994485.3703578697,9242.541814973805,0.10000000000000014,98.52428285428974,0.3499999999999999,0.19999999999999996,0.3,0.04999999999999999,0.09999999999999998,0.0
2025-11-05,2025-11-06,994485.3703578697,999911.4832308962,5426.112873026511,0.05723860589812344,56.92295618536344,0.35,0.21447721179624665,0.2680965147453083,0.05361930294906166,0.10723860589812333,0.0
2025-11-06,2025-11-07,999911.4832308962,999793.9213787845,-117.56185211167669,0.12828418230563,128.27282700428518,0.35,0.25,0.3,0.05,0.05,0.0
2025-11-07,2025-11-10,999793.9213787845,999950.8666401093,156.94526132492715,0.19999999999999996,199.95878427575687,0.3,0.2,0.35,0.05,0.05,0.05
2025-11-10,2025-11-11,999950.8666401093,1002333.6313311137,2382.7646910043577,0.2,199.99017332802188,0.3,0.1,0.35,0.1,0.05,0.1
2025-11-11,2025-11-12,1002333.6313311137,991361.242000362,-10972.389330751723,0.17105263157894735,171.45180535926943,0.3157894736842105,0.10526315789473684,0.35,0.05263157894736842,0.10526315789473684,0.05263157894736842
2025-11-12,2025-11-13,991361.242000362,1019842.5870031348,28481.345002772807,0.0,0.0,0.3157894736842105,0.10526315789473684,0.35,0.05263157894736842,0.10526315789473684,0.05263157894736842
2025-11-13,2025-11-14,1019842.5870031348,1009651.7770057757,-10190.809997359003,0.020844189682126105,21.257792329403536,0.3335070349140177,0.10422094841063052,0.35,0.05211047420531526,0.10422094841063052,0.05211047420531526
2025-11-14,2025-11-17,1009651.7770057757,1021590.6511514261,11938.874145650374,0.18772798332464813,189.5398919574416,0.25000000000000006,0.10000000000000002,0.35,0.10000000000000002,0.10000000000000002,0.10000000000000002
2025-11-17,2025-11-18,1021590.6511514261,1005384.5552363814,-16206.095915044756,0.1710526315789473,174.74576927590175,0.2631578947368421,0.15789473684210525,0.35,0.05263157894736842,0.10526315789473684,0.05263157894736842
2025-11-18,2025-11-19,1005384.5552363814,992186.1518846569,-13198.403351724512,0.10526315789473686,105.82995318277702,0.2631578947368421,0.10526315789473685,0.35,0.052631578947368425,0.10526315789473685,0.10526315789473685
2025-11-19,2025-11-20,992186.1518846569,979475.9934083375,-12710.15847631943,0.21478551871007,213.10721728949432,0.3468208092485549,0.11560693641618498,0.35,0.05780346820809249,0.11560693641618498,0.0
2025-11-20,2025-11-21,979475.9934083375,937140.5410006753,-42335.45240766214,0.12196531791907507,119.46210093014976,0.35,0.11560693641618498,0.28901734104046245,0.05780346820809249,0.17341040462427745,0.0
2025-11-21,2025-11-24,937140.5410006753,956566.5306039769,19425.98960330157,0.20780346820809253,194.74105461834847,0.35,0.2,0.2,0.05,0.2,0.0
2025-11-24,2025-11-25,956566.5306039769,971716.0316385736,15149.501034596717,0.37658959537572256,360.2330027101104,0.35,0.11560693641618498,0.17341040462427745,0.11560693641618498,0.11560693641618498,0.11560693641618498
2025-11-25,2025-11-26,971716.0316385736,968142.7558459406,-3573.275792633062,0.012608688532643436,12.25206478510707,0.35,0.11331444759206799,0.16997167138810199,0.11331444759206799,0.11331444759206799,0.11331444759206799
2025-11-26,2025-11-27,968142.7558459406,968947.2197585629,804.4639126223536,0.23236011724442843,224.9577642577068,0.35,0.23121387283236994,0.11560693641618497,0.11560693641618497,0.11560693641618497,0.057803468208092484
2025-11-27,2025-11-28,968947.2197585629,979746.3378086266,10799.118050063695,0.17023121387283233,164.9450613982062,0.35,0.2,0.1,0.1,0.1,0.15
